%diff	CDF
0.6511927306	12.5104253545
0.6588554933	12.5938281902
0.6593576456	12.6772310259
0.662087043	12.7606338616
0.6686435814	12.8440366972
0.6714641572	12.9274395329
0.6764874641	13.0108423686
0.6787059021	13.0942452043
0.6839679017	13.17764804
0.6848841409	13.2610508757
0.6897750985	13.3444537114
0.7154163276	13.4278565471
0.7157099963	13.5112593828
0.7162335133	13.5946622185
0.7163595908	13.6780650542
0.716558839	13.7614678899
0.7186630761	13.8448707256
0.7191439947	13.9282735613
0.7212420607	14.011676397
0.7257026536	14.0950792327
0.7263717414	14.1784820684
0.7285048708	14.2618849041
0.7298621599	14.3452877398
0.7322912266	14.4286905755
0.7342388637	14.5120934112
0.7584998247	14.5954962469
0.7585184175	14.6788990826
0.7607850071	14.7623019183
0.7663874982	14.845704754
0.7678051364	14.9291075897
0.7703648155	15.0125104254
0.7704411933	15.0959132611
0.7732534287	15.1793160967
0.7789397764	15.2627189324
0.7802989892	15.3461217681
0.7872954496	15.4295246038
0.7887899381	15.5129274395
0.789769228	15.5963302752
0.7919361249	15.6797331109
0.7923092526	15.7631359466
0.7989029038	15.8465387823
0.8044718571	15.929941618
0.8110168327	16.0133444537
0.8129044017	16.0967472894
0.8146778942	16.1801501251
0.8161764706	16.2635529608
0.8204036517	16.3469557965
0.8227772016	16.4303586322
0.825431912	16.5137614679
0.8278207398	16.5971643036
0.8317702227	16.6805671393
0.8382162462	16.763969975
0.8420009906	16.8473728107
0.8430779115	16.9307756464
0.8439451436	17.0141784821
0.8441210606	17.0975813178
0.8460324642	17.1809841535
0.850274282	17.2643869892
0.8518464995	17.3477898249
0.8587148888	17.4311926606
0.8591648014	17.5145954962
0.8617680426	17.5979983319
0.8658974522	17.6814011676
0.8675284116	17.7648040033
0.867856558	17.848206839
0.8689334283	17.9316096747
0.8737709938	18.0150125104
0.8772254678	18.0984153461
0.8807420495	18.1818181818
0.8809469882	18.2652210175
0.881848616	18.3486238532
0.8984684937	18.4320266889
0.9043612307	18.5154295246
0.9049843162	18.5988323603
0.9211873081	18.682235196
0.9295299031	18.7656380317
0.9317787358	18.8490408674
0.9361702128	18.9324437031
0.9397709546	19.0158465388
0.9448144317	19.0992493745
0.9448144317	19.1826522102
0.9480297824	19.2660550459
0.9520850777	19.3494578816
0.9534967899	19.4328607173
0.9535338795	19.516263553
0.9539379132	19.5996663887
0.9563036681	19.6830692244
0.9586736303	19.7664720601
0.9635786728	19.8498748957
0.9703628592	19.9332777314
0.9789156627	20.0166805671
0.9791845131	20.1000834028
0.9794425061	20.1834862385
0.9818620102	20.2668890742
0.9905558803	20.3502919099
0.9935042602	20.4336947456
0.9936330311	20.5170975813
0.9981942636	20.600500417
1.0110174984	20.6839032527
1.0117057175	20.7673060884
1.0147873352	20.8507089241
1.0212412125	20.9341117598
1.0306195387	21.0175145955
1.036104992	21.1009174312
1.0363402809	21.1843202669
1.037639782	21.2677231026
1.0392795231	21.3511259383
1.0403549546	21.434528774
1.0413331761	21.5179316097
1.0443450389	21.6013344454
1.0483349667	21.6847372811
1.0664547552	21.7681401168
1.0695682866	21.8515429525
1.0704157654	21.9349457882
1.0784076279	22.0183486239
1.0855065901	22.1017514595
1.0871611831	22.1851542952
1.0899046778	22.2685571309
1.0913493654	22.3519599666
1.1030643242	22.4353628023
1.1045563549	22.518765638
1.1056537874	22.6021684737
1.1070907412	22.6855713094
1.1099246937	22.7689741451
1.1130339023	22.8523769808
1.1173381918	22.9357798165
1.1173599192	23.0191826522
1.1186774594	23.1025854879
1.1196496802	23.1859883236
1.1223234502	23.2693911593
1.1231203008	23.352793995
1.129099576	23.4361968307
1.1313214057	23.5195996664
1.1323217603	23.6030025021
1.1323931804	23.6864053378
1.1363636364	23.7698081735
1.1370129128	23.8532110092
1.1423534344	23.9366138449
1.1432428668	24.0200166806
1.1468437903	24.1034195163
1.1478768806	24.186822352
1.148707607	24.2702251877
1.1518489993	24.3536280234
1.1624560766	24.437030859
1.1723552485	24.5204336947
1.1768936459	24.6038365304
1.1818555008	24.6872393661
1.1861614498	24.7706422018
1.1917383764	24.8540450375
1.1941006911	24.9374478732
1.1946701517	25.0208507089
1.205161773	25.1042535446
1.2056065915	25.1876563803
1.2063546003	25.271059216
1.2153721339	25.3544620517
1.2200317596	25.4378648874
1.2249655288	25.5212677231
1.2281849913	25.6046705588
1.2296451405	25.6880733945
1.2427745665	25.7714762302
1.2442196532	25.8548790659
1.2446688044	25.9382819016
