Query Sequence	ReCache	Parquet/Greedy	Columnar/Greedy	Columnar/LRU
216	1581.95	1613.54	2711.34	2780.08
217	1581.97	1613.56	2714.03	2782.77
218	1582.02	1613.61	2745.26	2813.01
219	1591.17	1622.97	2746.22	2813.12
220	1603.72	1634.49	2757.44	2824.73
221	1603.74	1634.51	2757.46	2824.74
222	1604.07	1634.53	2761.61	2828.62
223	1604.17	1635.47	2764.02	2830.9
224	1604.65	1635.99	2764.07	2835.42
225	1620.06	1647.41	2798.21	2869.35
226	1620.09	1647.46	2798.24	2869.36
227	1620.27	1647.48	2798.41	2869.38
228	1620.29	1647.5	2798.43	2869.39
229	1620.38	1648.45	2798.52	2869.4
230	1620.42	1648.55	2798.56	2869.42
231	1620.67	1648.81	2799.15	2869.92
232	1621.25	1649.05	2799.23	2869.94
233	1621.28	1649.15	2799.26	2869.94
234	1621.46	1649.17	2799.43	2869.96
235	1621.48	1649.19	2799.48	2870.11
236	1622.26	1650.01	2801.53	2872.03
237	1637.53	1661.33	2831.01	2899.79
238	1637.56	1661.42	2831.04	2899.8
239	1637.74	1661.44	2831.22	2899.82
240	1653.12	1672.87	2865.61	2899.93
241	1653.47	1672.89	2865.95	2899.97
242	1653.71	1673.13	2866.04	2899.99
243	1654.15	1675.24	2866.48	2900.14
244	1654.22	1675.49	2866.55	2900.15
245	1654.71	1677.68	2867.23	2900.34
246	1664.17	1687.27	2868.19	2974.78
247	1673.64	1696.94	2869.9	3001.85
248	1673.67	1696.99	2869.94	3001.86
249	1673.72	1697.1	2869.98	3001.87
250	1682.97	1706.54	2870.94	3001.98
251	1683.05	1706.78	2871.02	3012.25
252	1689.07	1713.1	2877.16	3018.34
253	1690.03	1723.3	2906.74	3055.72
254	1699.14	1732.73	2958.56	3107.96
255	1699.22	1732.85	2958.64	3107.98
256	1699.92	1733.11	2958.71	3107.99
257	1717.71	1751.11	2976.43	3126.12
258	1717.78	1751.37	2976.5	3126.14
259	1733.06	1762.68	3006.78	3126.24
260	1733.23	1762.69	3006.95	3126.27
261	1733.3	1762.95	3007.02	3126.28
262	1733.35	1763.05	3007.06	3126.29
263	1733.37	1763.07	3007.31	3128.65
264	1734.33	1773.2	3075.2	3196.99
265	1734.36	1773.23	3075.99	3199.95
266	1749.66	1784.58	3109.53	3200.05
267	1749.76	1785.53	3116.37	3206.87
268	1758.93	1794.9	3117.33	3206.97
269	1759	1795.15	3117.4	3206.98
270	1759.18	1795.17	3117.56	3207
271	1759.21	1795.27	3117.59	3207.01
272	1833.52	1868.61	3191.81	3280.58
273	1833.6	1868.85	3191.89	3281.05
274	1833.67	1869.11	3191.96	3281.06
275	1842.7	1878.67	3220.71	3309.91
276	1842.79	1879.41	3222.99	3315.05
277	1851.9	1888.81	3285.78	3378.3
278	1852.01	1888.83	3288.15	3380.61
279	1852.04	1888.93	3288.18	3380.62
280	1852.14	1889.88	3288.27	3380.63
281	1861.48	1899.73	3290.67	3381.45
282	1861.55	1899.98	3290.74	3381.46
283	1861.64	1900.83	3294.98	3385.87
284	1863.61	1902.89	3299.41	3390.02
285	1863.79	1903.08	3299.82	3390.1
286	1864.78	1913.19	3330.66	3457.4
287	1865.75	1923.3	3380.67	3486.37
288	1865.8	1923.34	3381.67	3486.49
289	1866.58	1924.16	3387.85	3492.78
290	1876.03	1933.88	3390	3494.73
291	1876.1	1934.13	3390.07	3494.74
292	1876.28	1935.13	3390.24	3494.76
293	1877.25	1945.23	3440.28	3545.54
294	1877.32	1945.49	3440.35	3555.9
295	1877.55	1946.54	3440.58	3555.98
296	1877.58	1946.63	3440.61	3561.43
297	1877.6	1946.65	3440.65	3563.67
298	1951.23	2021.36	3515.23	3637.94
299	1951.28	2021.41	3515.32	3642.4
300	1960.89	2031.04	3546.83	3677.48
301	1960.92	2031.14	3546.86	3677.66
302	1960.95	2031.17	3546.88	3677.7
303	1960.99	2031.27	3546.91	3677.71
304	1970.65	2040.9	3621.24	3677.82
305	1972.64	2041.71	3621.32	3677.83
306	1972.68	2041.8	3621.35	3677.84
307	1987.98	2053.17	3678.08	3734.65
308	1990.03	2055.28	3678.55	3745.36
309	1990.1	2055.53	3678.62	3745.38
310	1990.28	2055.55	3678.79	3745.4
311	1990.32	2055.65	3678.83	3745.41
312	1990.39	2055.91	3678.9	3755.64
313	1990.41	2055.93	3678.96	3759.41
314	1990.48	2056.18	3679.04	3770.06
315	1991.45	2066.3	3729.44	3820.03
316	1991.53	2066.55	3729.51	3830.32
317	1995.93	2066.57	3729.86	3847.19
318	1996	2066.64	3761.93	3876.35
319	1996.04	2066.68	3761.98	3880.73
320	1996.52	2066.7	3762.45	3894.54
321	2005.89	2076.56	3764.16	3941.59
322	2006.08	2076.58	3764.34	3941.61
323	2006.99	2077.52	3768.72	3946.15
324	2022.57	2088.99	3798.49	3946.94
325	2022.76	2089.19	3798.54	3947.66
326	2022.98	2090.22	3798.75	3947.72
327	2038.41	2102.12	3828.72	3948.44
328	2038.51	2103.07	3828.81	3955.27
329	2038.55	2103.17	3828.85	3955.29
330	2038.62	2103.42	3828.92	3955.79
331	2112.04	2176.57	3902.63	4029.56
332	2112.13	2177.31	3902.71	4033.85
333	2127.54	2188.77	3936.88	4068.36
334	2127.58	2188.81	3939.13	4070.62
335	2127.6	2188.83	3939.39	4077.25
336	2127.7	2189.78	3939.49	4079.48
337	2127.78	2189.91	3939.57	4079.49
338	2128.69	2190.84	3941.89	4081.72
339	2129.61	2191.77	3941.99	4081.74
340	2129.69	2191.84	3942.14	4084.15
341	2129.71	2191.86	3942.16	4084.23
342	2145.02	2203.22	3978.34	4115.84
343	2145.98	2213.29	4015.43	4143.23
344	2146.06	2213.41	4015.51	4143.74
345	2155.41	2222.82	4066.77	4195.12
346	2156.38	2232.95	4133.67	4195.23
347	2165.78	2242.4	4164.8	4229.7
348	2166.75	2252.6	4198.08	4229.81
349	2168.47	2263.01	4198.18	4252.22
350	2169.44	2273.12	4248.69	4281.55
351	2184.65	2284.39	4282.32	4314.87
352	2200.16	2295.78	4356.46	4388
353	2200.23	2296.02	4356.53	4398.82
354	2201.2	2306.26	4395.86	4398.93
355	2201.42	2307.28	4396.07	4410.45
356	2201.52	2308.22	4396.17	4415.03
357	2210.94	2317.7	4397.15	4415.14
358	2220.16	2327.08	4427.92	4471.54
359	2220.21	2327.13	4430.17	4473.78
360	2220.3	2327.22	4430.2	4479.34
361	2220.79	2329.4	4430.7	4492.27
362	2220.81	2329.42	4430.71	4498.08
363	2221	2329.45	4430.89	4500
364	2221.08	2329.71	4430.97	4510.45
365	2222.28	2330.22	4434.77	4514.41
366	2222.36	2330.48	4434.84	4524.67
367	2231.85	2340.06	4509.23	4598.11
368	2231.91	2340.58	4510.42	4599.26
369	2231.97	2341.1	4510.48	4599.27
370	2231.99	2341.12	4510.99	4606.98
371	2233.01	2341.17	4546.08	4607.11
372	2233.08	2341.42	4546.15	4617.54
373	2242.81	2351.12	4546.23	4618.38
374	2258.38	2362.65	4579.45	4649.44
375	2258.75	2363.04	4582.01	4652.03
376	2258.82	2363.29	4582.08	4662.33
377	2258.89	2363.34	4582.16	4664.56
378	2258.97	2363.59	4582.23	4674.9
379	2259	2363.69	4582.26	4680.28
380	2268.51	2373.33	4611.8	4726.91
381	2268.58	2373.58	4611.87	4727.42
382	2269.5	2374.51	4611.97	4733.07
383	2278.98	2384.11	4612.94	4806.79
384	2279.14	2384.13	4619.14	4812.93
385	2280.86	2394.54	4619.23	4835.37
386	2281.36	2396.69	4619.96	4836.12
387	2290.47	2405.94	4620.92	4867.6
388	2290.55	2406.07	4620.99	4879.32
389	2290.62	2406.32	4621.06	4879.33
390	2299.84	2415.56	4683.66	4942.51
391	2309.55	2425.28	4717.29	4971.54
392	2309.58	2425.38	4717.32	4971.72
393	2310.18	2425.99	4722.69	4977.25
394	2325.43	2437.3	4756.62	5010.2
395	2325.5	2437.55	4756.7	5020.81
396	2325.57	2437.78	4756.77	5021.32
397	2325.76	2438.79	4756.94	5032.29
398	2325.84	2439.53	4757.02	5055.82
399	2328.16	2441.87	4759.32	5058.1
400	2328.65	2444.05	4759.81	5070.83
401	2328.85	2445.09	4760	5082.03
402	2328.93	2445.33	4760.08	5082.05
403	2329.1	2445.36	4760.25	5082.06
404	2329.35	2445.61	4760.31	5087.78
405	2329.39	2445.72	4760.35	5087.79
406	2329.47	2445.87	4760.43	5088.38
407	2329.51	2445.97	4760.46	5088.39
408	2329.54	2446.07	4760.49	5088.39
409	2329.62	2446.15	4760.51	5090.7
410	2329.81	2446.17	4760.7	5091.14
411	2329.88	2446.43	4760.77	5091.16
412	2329.95	2446.49	4760.85	5122.54
413	2329.98	2446.59	4760.88	5122.54
414	2330.05	2446.84	4760.96	5122.56
415	2330.15	2447.09	4761.05	5122.58
416	2330.33	2448.11	4761.22	5122.6
417	2339.53	2457.47	4762.19	5173.11
418	2339.6	2457.72	4762.27	5183.31
419	2348.95	2467.14	4826.42	5235.01
420	2349.03	2467.87	4826.5	5240.16
421	2349.52	2470.05	4826.98	5240.61
422	2349.56	2470.1	4827.02	5240.63
423	2349.63	2470.36	4827.09	5240.64
424	2349.71	2470.61	4827.16	5240.65
425	2349.75	2470.72	4827.2	5240.67
426	2349.82	2470.98	4827.28	5240.68
427	2350.32	2473.17	4827.77	5253.41
428	2359.8	2482.77	4828.74	5284.49
429	2359.82	2482.79	4828.76	5284.63
430	2369.23	2492.23	4857.67	5315.62
431	2369.33	2493.17	4857.77	5321.34
432	2369.51	2494.19	4857.94	5321.35
433	2369.69	2495.22	4858.11	5321.36
434	2370.66	2505.45	4896.58	5352.66
435	2380.06	2514.88	4959.15	5416.17
436	2389.35	2524.19	4988.18	5444.79
437	2389.44	2525.03	4990.43	5450.19
438	2398.63	2534.39	4991.4	5499.9
439	2398.66	2534.48	4991.61	5504.55
440	2398.73	2534.74	4991.69	5515.17
441	2398.77	2534.83	4991.72	5517.88
442	2399.73	2545.07	5021.04	5518
443	2399.76	2545.09	5021.06	5523.62
444	2399.83	2545.33	5021.13	5534.38
445	2399.85	2545.35	5021.21	5536.76
446	2410.18	2555.03	5021.26	5583.17
447	2410.22	2555.14	5021.3	5586.94
448	2410.29	2555.22	5021.33	5586.95
449	2410.37	2555.35	5021.4	5598.79
450	2410.84	2555.38	5021.87	5609.4
451	2410.92	2555.51	5021.95	5621.23
452	2411.02	2556.43	5022.04	5623.49
453	2411.2	2557.43	5022.22	5623.5
454	2411.24	2557.48	5022.26	5623.57
455	2411.27	2557.58	5022.29	5628.97
456	2411.3	2557.68	5022.31	5629.12
457	2411.37	2557.93	5022.39	5629.61
458	2411.42	2557.97	5022.4	5633.97
459	2412.38	2568.08	5072.56	5634.09
460	2421.67	2577.51	5073.78	5690.67
461	2421.75	2577.76	5073.85	5691.24
462	2421.78	2577.86	5073.88	5691.26
463	2421.88	2578	5073.98	5691.28
464	2422.29	2578.02	5074.01	5697.5
465	2422.36	2578.26	5074.09	5697.51
466	2431.27	2587.33	5074.14	5744.36
467	2431.36	2588.18	5074.24	5746.42
468	2431.44	2588.44	5074.31	5746.44
469	2431.51	2588.69	5074.38	5746.45
470	2431.55	2588.8	5074.42	5746.67
471	2431.58	2588.89	5074.44	5746.68
472	2431.62	2589.08	5074.48	5747.02
473	2431.69	2589.32	5074.55	5747.54
474	2431.78	2590.14	5082.22	5755.39
475	2432.74	2600.33	5122.1	5755.5
476	2432.78	2600.52	5122.14	5755.51
477	2432.86	2600.65	5122.22	5755.52
478	2442.59	2610.41	5122.3	5793.46
479	2442.69	2610.56	5122.4	5793.49
480	2443.14	2612.7	5122.85	5806.02
481	2443.32	2613.7	5123.03	5806.03
482	2443.39	2613.94	5123.1	5806.05
483	2443.41	2613.96	5123.11	5808.4
484	2443.44	2614.05	5123.14	5808.41
485	2443.9	2614.08	5123.6	5821.54
486	2444.08	2615.1	5123.77	5821.55
487	2459.78	2626.7	5125.79	5823.46
488	2459.8	2626.72	5125.81	5829.31
489	2475.25	2638.07	5198.18	5900.7
490	2475.32	2638.14	5199.93	5931.82
491	2475.51	2639.17	5200.11	5931.83
492	2475.58	2639.29	5200.19	5941.75
493	2476.04	2639.31	5200.64	5954.85
494	2476.13	2639.57	5200.73	5954.87
495	2485.32	2648.92	5201.7	5954.99
496	2485.42	2649.18	5201.8	5955.01
497	2485.47	2649.24	5201.84	5955.03
498	2485.52	2649.29	5201.86	5957.19
499	2485.59	2649.54	5201.93	5967.83
500	2486.5	2650.48	5202.03	5972.37
501	2501.81	2661.86	5258.49	6033.9
502	2511.22	2671.31	5321.5	6034
503	2511.26	2671.34	5321.54	6034.01
504	2511.34	2671.59	5321.61	6044.32
505	2511.38	2671.63	5321.63	6049.78
506	2511.86	2671.67	5322.1	6053.77
507	2512.82	2681.69	5353.46	6101.48
508	2512.84	2681.71	5353.47	6103.77
509	2513.41	2682.3	5354.95	6108.58
510	2513.45	2682.41	5354.99	6108.59
511	2528.83	2693.83	5386.11	6139.86
512	2528.91	2694.09	5386.18	6139.87
513	2528.98	2694.34	5386.25	6150.59
514	2529.06	2694.6	5386.33	6160.96
515	2529.08	2694.62	5386.34	6163.2
516	2529.18	2694.87	5386.44	6163.72
517	2529.25	2695.12	5386.51	6163.74
518	2529.43	2695.15	5386.68	6174.92
519	2544.7	2706.47	5442.39	6175.03
520	2544.88	2707.48	5442.56	6175.11
521	2544.96	2707.73	5442.64	6185.36
522	2545.04	2707.97	5442.72	6195.66
523	2545.06	2708.02	5442.74	6197.9
524	2545.13	2708.28	5442.81	6198.38
525	2545.21	2708.53	5442.88	6198.91
526	2545.25	2708.59	5442.92	6198.92
527	2554.45	2717.95	5443.89	6248.93
528	2554.91	2720.09	5444.35	6249.08
529	2564.39	2729.69	5445.32	6323.18
530	2579.71	2741.05	5502.41	6379.77
531	2579.79	2741.3	5502.48	6380.24
532	2579.99	2741.33	5502.68	6391.74
533	2580.1	2742.28	5502.78	6396.33
534	2595.39	2753.62	5536.24	6424.48
535	2596.35	2763.64	5583.73	6472.47
536	2596.43	2763.9	5583.81	6472.49
537	2596.47	2764.01	5583.85	6472.5
538	2605.96	2773.6	5584.81	6511.62
539	2615.21	2783	5585.78	6511.71
540	2615.31	2783.91	5585.88	6513.95
541	2615.38	2784.16	5585.95	6513.97
542	2615.46	2784.42	5586.02	6513.98
543	2615.49	2784.51	5586.05	6513.99
544	2615.52	2784.61	5586.08	6513.99
545	2615.6	2784.86	5586.16	6514.01
546	2631.22	2796.36	5586.23	6514.77
547	2631.31	2796.48	5586.32	6514.8
548	2631.81	2798.68	5586.81	6514.99
549	2631.88	2798.9	5586.88	6515
550	2631.91	2798.96	5586.91	6515.01
551	2632.88	2809.07	5638.6	6565.95
552	2632.92	2809.17	5638.63	6565.96
553	2633	2809.32	5638.71	6565.97
554	2642.35	2818.72	5668.96	6617.53
555	2651.62	2828.14	5725.5	6674.69
556	2651.65	2828.19	5725.53	6674.7
557	2652.57	2829.12	5732.14	6681.45
558	2652.66	2829.36	5732.22	6681.46
559	2652.84	2829.39	5732.4	6681.93
560	2653.81	2839.49	5766.34	6714.41
561	2653.86	2839.54	5837.16	6746.11
562	2653.92	2840.06	5837.22	6750.62
563	2653.96	2840.1	5837.23	6754.97
564	2654.46	2842.28	5837.73	6767.85
565	2663.63	2851.61	5868.34	6802.07
566	2673.12	2861.21	5869.31	6802.18
567	2682.76	2870.84	5944.1	6876.5
568	2682.81	2870.86	5944.15	6882.21
569	2682.9	2871.1	5944.23	6892.37
570	2682.99	2871.36	5944.32	6903.14
571	2683.96	2881.47	5994.38	6953.29
572	2684.03	2881.72	5994.46	6963.66
573	2684.38	2883.78	5994.8	6967.47
574	2694.16	2893.48	5994.9	7015.75
575	2694.41	2893.51	5995.14	7027.46
576	2694.43	2893.53	5995.16	7029.72
577	2694.9	2893.56	5995.64	7029.88
578	2694.94	2893.76	5995.67	7034.7
579	2695.03	2893.91	5995.75	7035.26
580	2695.21	2893.94	5995.93	7037.18
581	2695.29	2894.19	5996.01	7047.61
582	2695.31	2894.21	5996.07	7053.24
583	2695.35	2894.25	5996.08	7055.5
584	2695.42	2894.51	5996.16	7055.51
585	2695.48	2894.56	5996.24	7057.77
586	2695.55	2894.81	5996.31	7068.24
587	2696.15	2895.42	5996.38	7072.33
588	2696.18	2895.52	5996.41	7075.06
589	2696.68	2897.72	5996.91	7075.25
590	2705.91	2907.09	5997.88	7075.36
591	2715.1	2916.45	6048.05	7125.49
592	2716.08	2926.57	6078.62	7161.07
593	2725.32	2935.95	6111.58	7196.24
594	2741.03	2947.54	6111.64	7197.44
595	2752.95	2959.15	6122.35	7208.08
596	2768.32	2970.57	6156.21	7242.08
597	2768.43	2971.52	6156.31	7247.77
598	2768.5	2971.77	6156.38	7258.23
599	2769.44	2971.82	6199.69	7258.33
600	2769.69	2972.07	6200.3	7258.84
601	2769.7	2972.09	6200.31	7261.2
602	2769.92	2973.42	6200.53	7261.26
603	2779.63	2983.11	6200.63	7263.48
604	2779.68	2983.16	6274.48	7335.33
605	2789.08	2992.59	6337.92	7397.93
606	2804.71	3004.11	6367.61	7427.6
607	2804.78	3004.37	6367.68	7437.84
608	2805.01	3004.6	6367.75	7437.85
609	2814.21	3013.96	6417.94	7488.12
610	2829.62	3025.41	6418.9	7488.23
611	2829.69	3025.66	6418.97	7488.74
612	2829.76	3025.9	6419.04	7500.21
613	2830.41	3026.15	6419.11	7500.22
614	2830.44	3026.17	6419.14	7502.47
615	2839.94	3035.77	6492.89	7576.59
616	2855.31	3047.2	6493.84	7576.71
617	2855.39	3047.44	6493.92	7587.02
618	2864.51	3056.7	6551.76	7643.58
619	2874	3066.35	6585.61	7680.28
620	2883.69	3076.06	6620.01	7716.29
621	2883.78	3076.31	6620.1	7726.53
622	2884.23	3078.42	6620.55	7737.08
623	2884.28	3078.53	6620.59	7740.87
624	2884.4	3078.66	6623.12	7743.4
625	2884.45	3078.71	6624.17	7743.53
626	2884.65	3079.75	6624.36	7754.63
627	2894.13	3089.35	6698.5	7754.74
628	2894.2	3089.61	6698.58	7765.35
629	2894.27	3089.85	6698.72	7775.63
630	2894.49	3090.89	6699.1	7780.34
631	2895.46	3100.99	6749	7830.04
632	2895.55	3101.81	6749.09	7837.82
633	2895.63	3102.56	6756.29	7845.2
634	2895.66	3102.58	6762.84	7851.79
635	2895.73	3102.82	6762.91	7852.32
636	2905.23	3112.41	6791.88	7852.43
637	2905.57	3112.44	6792.22	7856.77
638	2907.29	3122.84	6792.33	7879.25
639	2916.78	3132.44	6867.11	7879.46
640	2916.96	3133.46	6867.28	7880.02
641	2917.92	3143.69	6906.02	7918.55
